match_id,round_num,freeze_time_end_eq_val_diff,n_ticks_lag1,bomb_plant_tick_lag1,winning_side_lag1,ct_flash_opp_lag1,t_flash_opp_lag1,ct_flashed_lag1,t_flashed_lag1,ct_avg_flash_duration_lag1,t_avg_flash_duration_lag1,ct_kills_lag1,t_kills_lag1,ct_first_kill_lag1,ct_hs_prob_lag1,t_hs_prob_lag1,ct_trade_prob_lag1,t_trade_prob_lag1,ct_flash_kill_prob_lag1,t_flash_kill_prob_lag1,ct_assist_prob_lag1,t_assist_prob_lag1,ct_kast_prob_lag1,t_kast_prob_lag1,ct_shot_fires_lag1,t_shot_fires_lag1,ct_shot_connected_prob_lag1,t_shot_connected_prob_lag1,ct_he_grenade_lag1,ct_decoy_grenade_lag1,ct_flashbang_lag1,ct_smoke_grenade_lag1,t_flashbang_lag1,t_smoke_grenade_lag1,t_he_grenade_lag1,t_decoy_grenade_lag1,ct_grenade_connected_prob_lag1,t_grenade_connected_prob_lag1,ct_fire_grenade_lag1,t_fire_grenade_lag1,round_end_reason_BombDefused_lag1,round_end_reason_CTWin_lag1,round_end_reason_TargetBombed_lag1,round_end_reason_TargetSaved_lag1,round_end_reason_TerroristsWin_lag1,freeze_time_end_eq_val_diff_lag1,n_ticks_lag2,bomb_plant_tick_lag2,winning_side_lag2,ct_flash_opp_lag2,t_flash_opp_lag2,ct_flashed_lag2,t_flashed_lag2,ct_avg_flash_duration_lag2,t_avg_flash_duration_lag2,ct_kills_lag2,t_kills_lag2,ct_first_kill_lag2,ct_hs_prob_lag2,t_hs_prob_lag2,ct_trade_prob_lag2,t_trade_prob_lag2,ct_flash_kill_prob_lag2,t_flash_kill_prob_lag2,ct_assist_prob_lag2,t_assist_prob_lag2,ct_kast_prob_lag2,t_kast_prob_lag2,ct_shot_fires_lag2,t_shot_fires_lag2,ct_shot_connected_prob_lag2,t_shot_connected_prob_lag2,ct_he_grenade_lag2,ct_decoy_grenade_lag2,ct_flashbang_lag2,ct_smoke_grenade_lag2,t_flashbang_lag2,t_smoke_grenade_lag2,t_he_grenade_lag2,t_decoy_grenade_lag2,ct_grenade_connected_prob_lag2,t_grenade_connected_prob_lag2,ct_fire_grenade_lag2,t_fire_grenade_lag2,round_end_reason_BombDefused_lag2,round_end_reason_CTWin_lag2,round_end_reason_TargetBombed_lag2,round_end_reason_TargetSaved_lag2,round_end_reason_TerroristsWin_lag2,freeze_time_end_eq_val_diff_lag2,winning_side
5c60aa15-8c74-4ef7-89ad-106594bc35fa,20,-18950,380602.0,375354.0,0.0,7.0,2.0,1.0,8.0,0.15379305183887482,2.8991005420684814,2.0,2.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.6,26.0,75.0,0.15384615384615385,0.13333333333333333,1.0,0.0,3.0,3.0,2.0,4.0,4.0,0.0,0.0,0.23076923076923078,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-16950.0,360344.0,357955.0,0.0,0.0,2.0,1.0,1.0,3.552095890045166,1.0528924465179443,2.0,5.0,0.0,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.6,49.0,43.0,0.10204081632653061,0.23255813953488372,2.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,0.0,1.0,11150.0,0
5c60aa15-8c74-4ef7-89ad-106594bc35fa,21,-100,402094.0,396846.0,0.0,0.0,10.0,4.0,6.0,2.7711429595947266,1.1038720607757568,3.0,4.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,0.0,0.5,0.6,0.6,38.0,132.0,0.2631578947368421,0.10606060606060606,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,-18950.0,380602.0,375354.0,0.0,7.0,2.0,1.0,8.0,0.15379305183887482,2.8991005420684814,2.0,2.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.6,26.0,75.0,0.15384615384615385,0.13333333333333333,1.0,0.0,3.0,3.0,2.0,4.0,4.0,0.0,0.0,0.23076923076923078,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-16950.0,0
5c60aa15-8c74-4ef7-89ad-106594bc35fa,22,-2350,423360.0,418110.0,0.0,4.0,15.0,6.0,13.0,2.2626733779907227,2.1725306510925293,1.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.6,65.0,59.0,0.07692307692307693,0.1016949152542373,2.0,0.0,1.0,4.0,7.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,-100.0,402094.0,396846.0,0.0,0.0,10.0,4.0,6.0,2.7711429595947266,1.1038720607757568,3.0,4.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.25,0.0,0.5,0.6,0.6,38.0,132.0,0.2631578947368421,0.10606060606060606,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,-18950.0,0
5c60aa15-8c74-4ef7-89ad-106594bc35fa,23,-5750,431855.0,-1.0,0.0,6.0,5.0,6.0,5.0,2.4441959857940674,2.0665860176086426,0.0,5.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,21.0,49.0,0.14285714285714285,0.14285714285714285,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,-2350.0,423360.0,418110.0,0.0,4.0,15.0,6.0,13.0,2.2626733779907227,2.1725306510925293,1.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.6,65.0,59.0,0.07692307692307693,0.1016949152542373,2.0,0.0,1.0,4.0,7.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,-100.0,1
5c60aa15-8c74-4ef7-89ad-106594bc35fa,24,2050,457040.0,452997.0,1.0,6.0,9.0,8.0,7.0,2.199707269668579,1.8514950275421143,5.0,5.0,0.0,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.0,0.6,0.8,46.0,46.0,0.2391304347826087,0.17391304347826086,3.0,0.0,4.0,3.0,5.0,3.0,2.0,0.0,0.0,0.3076923076923077,2.0,3.0,1.0,0.0,0.0,0.0,0.0,-5750.0,431855.0,-1.0,0.0,6.0,5.0,6.0,5.0,2.4441959857940674,2.0665860176086426,0.0,5.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,21.0,49.0,0.14285714285714285,0.14285714285714285,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,-2350.0,0
5c60aa15-8c74-4ef7-89ad-106594bc35fa,25,-6700,477469.0,472218.0,0.0,6.0,2.0,5.0,3.0,1.5626105070114136,2.6587955951690674,2.0,3.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.5,0.0,0.4,0.6,29.0,124.0,0.27586206896551724,0.11290322580645161,3.0,0.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2050.0,457040.0,452997.0,1.0,6.0,9.0,8.0,7.0,2.199707269668579,1.8514950275421143,5.0,5.0,0.0,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.0,0.6,0.8,46.0,46.0,0.2391304347826087,0.17391304347826086,3.0,0.0,4.0,3.0,5.0,3.0,2.0,0.0,0.0,0.3076923076923077,2.0,3.0,1.0,0.0,0.0,0.0,0.0,-5750.0,0
5c60aa15-8c74-4ef7-89ad-106594bc35fa,26,-3950,504839.0,499591.0,0.0,11.0,15.0,11.0,15.0,2.9295525550842285,1.887283205986023,3.0,4.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.25,0.6666666666666666,0.25,0.4,0.6,84.0,164.0,0.16666666666666666,0.04878048780487805,4.0,0.0,3.0,4.0,8.0,6.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,-6700.0,477469.0,472218.0,0.0,6.0,2.0,5.0,3.0,1.5626105070114136,2.6587955951690674,2.0,3.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.5,0.0,0.4,0.6,29.0,124.0,0.27586206896551724,0.11290322580645161,3.0,0.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2050.0,1
5c60aa15-8c74-4ef7-89ad-106594bc35fa,27,-6100,520887.0,517953.0,1.0,14.0,7.0,8.0,13.0,2.354116201400757,1.8143903017044067,5.0,4.0,0.0,0.4,0.0,0.2,0.0,0.2,0.5,0.2,0.25,0.6,0.6,71.0,62.0,0.23943661971830985,0.1935483870967742,4.0,0.0,4.0,2.0,4.0,5.0,1.0,0.0,0.2727272727272727,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,-3950.0,504839.0,499591.0,0.0,11.0,15.0,11.0,15.0,2.9295525550842285,1.887283205986023,3.0,4.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.25,0.6666666666666666,0.25,0.4,0.6,84.0,164.0,0.16666666666666666,0.04878048780487805,4.0,0.0,3.0,4.0,8.0,6.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,-6700.0,0
8c5e5fd4-20b5-4393-88c5-12d2a8a4b2fd,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
8c5e5fd4-20b5-4393-88c5-12d2a8a4b2fd,2,10000,8257.0,-1.0,1.0,0.0,5.0,2.0,3.0,1.69609797000885,2.2815017700195312,5.0,2.0,1.0,1.0,1.0,0.2,0.5,0.0,0.0,0.2,0.0,0.6,0.2,66.0,23.0,0.12121212121212122,0.17391304347826086,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
